Keyword,Synonym 1,Synonym 2,Synonym 3,Synonym 4,Synonym 5
Tischlerei,Schreinerei,Möbelbau,Tischlermeister,Schreinermeister,Möbelwerkstatt
Zimmerei,Zimmerer,Holzbau,Dachstuhl,Zimmermann,Dachdecker
Hausverwaltung,Immobilienverwaltung,Mietsverwaltung,WEG Verwaltung,Property Management,Immobilienmanagement
Pension,Frühstückspension,Herberge,Boutique Hotel,Gästehaus,Ferienhaus
Gebäudereinigung,Reinigungsfirma,Facility Management,Putzdienst,Hausreinigung,Reinigungsservice
Textilreinigung,Wäscherei,Chemische Reinigung,Bügelservice,Laundry Service,Kleiderreinigung
Heizung Sanitär,Heizungsbau,SHK,Heizung Sanitär Klima,Sanitär Heizung Klima,Installateur
Elektrofirma,Elektrobetrieb,Elektrotechnik,Elektroinstallation,Elektromeister,Elektrotechnikermeister
Dachdeckerei,Dachdeckerbetrieb,Dachdeckerfirma,Dachdeckermeister,Dacharbeiten,Dachsanierung
Malerfirma,Malerbetrieb,Maler,Malermeister,Anstrich,Renovierung
Metallbau,Metallbaufirma,Metallbaubetrieb,Metallbauer,Metallbauunternehmen,Metallbaumeister
Schlosserei,Schlosser,Metallverarbeitung,Stahlbau,Geländerbau,Schlossermeister
Bauunternehmen,Baufirma,Bauträger,Baumeister,Bauhandwerk,Baugeschäft
Maschinenbau,Maschinenbaufirma,Maschinenbauer,Anlagenbau,Engineering,Industrietechnik
Gartenbaubetrieb,Gartenbaufirma,Gartenbauunternehmen,Garten- und Landschaftsbau,Gärtnerei,Gärtner,Landschaftsbau
Glaserei,Glaser,Glasbau,Fensterbau,Spiegelherstellung,Glasbauunternehmen
Behälterbau,Behälteranlagen,Industriebehälter,Behälterbeschichtung,Tankbau,Tankherstellung
Tankschutz,Tankwartung,Tankreinigung,Tankinstandhaltung,Tankreparatur,Tankinstallation
Oberflächenbeschichtung,Oberflächenschutz,Lackierung,Beschichtungstechnik,Galvanik,Beschichtungsservice
Steinmetzbetrieb,Steinmetz,Natursteinbetrieb,Grabsteine,Marmorarbeiten,Steinbildhauer
Hausmeisterservice,Hausmeisterfirma,Hausmeister,Gebäudeservice,Facility Service,Gebäudemanagement
Pflegedienst,Ambulanter Pflegedienst,Krankenpflege,Altenpflege,Pflegeheim,Betreuung
Sanitätshaus,Orthopädietechnik,Rehatechnik,Medizintechnik,Homecare,Gesundheitstechnik
Zahnarztpraxis,Zahnarzt,Dentalpraxis,Mundhygiene,Kieferorthopädie,Zahnmedizin
Arztpraxis,Arzt,Medizinische Praxis,Allgemeinmedizin,Facharztpraxis,Mediziner
Tierarztpraxis,Tierarzt,Veterinärmedizin,Tierklinik,Veterinärpraxis,Tiermedizin
Logistik,Spedition,Transportdienst,Versanddienst,Kurierdienst,Fracht
Physiotherapie,Physiotherapiepraxis,Physiotherapeut,Krankengymnastik,Rehabilitation,Physiotherapeutische Praxis
Gastronomie,Restaurant,Café,Bistro,Gaststätte,Essen,Lokal
Eventmanagement,Veranstaltungsplanung,Eventorganisation,Kongressorganisation,Eventagentur,Eventservice
Onlinehandel,E-Commerce,Onlineshop,Internetverkauf,Webshop,Onlinegeschäft
Autohandel,Kfz-Handel,Gebrauchtwagenhandel,Autohaus,Fahrzeugverkauf,Autohändler
Buchhaltung,Finanzbuchhaltung,Accounting,Bilanzierung,Buchhaltungsservice,Lohnbuchhaltung
IT-Dienstleistungen,Informationstechnologie,IT-Service,Computerdienstleistungen,Softwareentwicklung,EDV-Service
Werbeagentur,Marketingagentur,Werbung,Marketing,Digitalagentur,Kommunikationsagentur
Rechtsanwaltskanzlei,Anwaltskanzlei,Rechtsberatung,Juridische Dienste,Anwalt,Rechtsanwalt
Steuerberatung,Steuerberater,Fiscalberatung,Buchprüfung,Steuerkanzlei,Tax Consulting
Notariat,Notar,Beurkundung,Beglaubigung,Notariatskanzlei,Notariatsservice
Architekturbüro,Architekt,Planungsbüro,Bauplanung,Architekturdesign,Bauzeichner
Ingenieurbüro,Engineering,Baustatik,Bauingenieurwesen,Technisches Büro,Planungsingenieur
Fotostudio,Fotograf,Fotoatelier,Portraitfotografie,Werbefotografie,Bildbearbeitung
Kosmetikstudio,Beauty Salon,Schönheitspflege,Kosmetikerin,Wellnessstudio,Nagelstudio
Friseursalon,Haarstudio,Coiffeur,Haarpflege,Friseurmeister,Haarmode
Reisebüro,Reisedienstleistungen,Urlaubsplanung,Travel Agency,Reisevermittlung,Reiseberatung
Sprachschule,Sprachunterricht,Fremdspracheninstitut,Sprachkurs,Sprachlernzentrum,Language School
Musikschule,Musikunterricht,Instrumentalunterricht,Musikakademie,Musikpädagogik,Musikzentrum
Sportverein,Sportclub,Sportgemeinschaft,Fitnessverein,Turnverein,Sportgemeinschaft
Fitnessstudio,Gym,Fitnesstraining,Sportstudio,Wellnesscenter,Fitnessclub
Kunstgalerie,Galerie,Kunsthandel,Kunstverkauf,Ausstellungsraum,Kunstvermittlung
Handwerksbetrieb,Gewerbebetrieb,Kleingewerbe,Handwerker,Handwerksfirma,Handwerksunternehmen
Landwirtschaft,Bauernhof,Agrarbetrieb,Agrarwirtschaft,Landwirt,Ackerbau
Fischerei,Angelfischerei,Fischzucht,Fischwirtschaft,Fischereibetrieb,Fischereiwesen
Bäckerei,Bäcker,Brotproduktion,Konditorei,Backwaren,Bäckereibetrieb
Metzgerei,Fleischerei,Fleischwaren,Wurstherstellung,Schlachterei,Metzger
Winzerei,Weingut,Weinbau,Weinherstellung,Kellerei,Weinproduktion
Brauer,Brauerei,Bierherstellung,Bierbrauerei,Braukunst,Bierproduktion
Hotel,Unterkunft,Beherbergungsbetrieb,Gastgewerbe,Hotellerie,Hospiz
Verlag,Buchverlag,Zeitschriftenverlag,Verlagswesen,Publikationshaus,Medienhaus
Druckerei,Druckhaus,Printservice,Druckservice,Druckproduktion,Druckbetrieb
Filmproduktion,Videoproduktion,Filmstudio,Filmgesellschaft,Filmherstellung,Medienproduktion
Musikproduktion,Plattenlabel,Recording Studio,Tonstudio,Musiklabel,Musikverlag
Theater,Schauspielhaus,Bühne,Oper,Bühnenkunst,Spielstätte
Museum,Austellungshaus,Kunstmuseum,Naturkundemuseum,Geschichtsmuseum,Museumsbetrieb
Bibliothek,Bücherei,Mediathek,Lesesaal,Buchausleihe,Literaturhaus
Apotheke,Pharmazie,Medikamentenverkauf,Pharmazeutika,Drogerie,Apothekenbetrieb
Supermarkt,Lebensmittelgeschäft,Einkaufsmarkt,Konsum,Biomarkt,Einkaufszentrum
Modegeschäft,Boutique,Kleidungsverkauf,Fashion Store,Textilhandel,Bekleidungsgeschäft
Juwelier,Schmuckgeschäft,Goldschmied,Schmuckhandel,Uhrenhandel,Edelsteinhandel
Optiker,Augenoptik,Brillenfachgeschäft,Sehhilfen,Kontaktlinsen,Augenoptiker
Blumenladen,Florist,Blumengeschäft,Blumenhandel,Gärtnerei,Blumenfachgeschäft
Sportgeschäft,Sportladen,Sportartikelhandel,Sportbedarf,Sportausrüstung,Sportshop
Elektronikhandel,Elektronikgeschäft,Elektrofachmarkt,Elektronikwaren,Technikladen,Elektronikshop
Möbelhandel,Möbelgeschäft,Wohnbedarf,Einrichtungshaus,Möbelhaus,Wohnaccessoires
Spielwarenhandel,Spielzeugladen,Spielzeuggeschäft,Spielehandel,Kinderbedarf,Spieleladen
Baumarkt,Baucenter,Baumarkthandel,Baustoffhandel,Heimwerkermarkt,Bau- und Gartenmarkt
Drogerie,Drogeriemarkt,Körperpflegeprodukte,Hygieneartikel,Schönheitsprodukte,Drogeriewaren
Tankstelle,Autohof,Kraftstoffhandel,Tankservice,Waschstraße,Servicestation
Autowerkstatt,Kfz-Werkstatt,Fahrzeugreparatur,Autoservice,Kfz-Meisterbetrieb,Reparaturwerkstatt
Fahrschule,Fahrunterricht,Führerscheinausbildung,Fahrausbildung,Fahrlehrer,Fahrschulbetrieb
Reinigungsdienst,Reinigungsservice,Gebäudereinigung,Unterhaltsreinigung,Fassadenreinigung,Industriereinigung
Sicherheitsdienst,Bewachungsdienst,Security,Personenschutz,Wachdienst,Sicherheitsservice
Entsorgungsbetrieb,Müllabfuhr,Recyclingunternehmen,Abfallwirtschaft,Schrottplatz,Abfallentsorgung
Installationsbetrieb,Installateur,Heizungsinstallateur,Sanitärinstallateur,Klempner,Gas- und Wasserinstallateur
Energieversorger,Stadtwerke,Elektrizitätswerk,Gasanbieter,Stromlieferant,Energieanbieter
Telekommunikation,Telekommunikationsdienstleister,Telefonanbieter,Internetprovider,Netzbetreiber,Kommunikationsdienst
Immobilienmakler,Immobilienvermittlung,Immobilienagentur,Hausvermittlung,Wohnungsvermittlung,Immobilienbüro
Finanzberatung,Vermögensberatung,Anlageberatung,Finanzdienstleistung,Investmentberatung,Bankberatung
Versicherungsmakler,Versicherungsvermittlung,Versicherungsagentur,Versicherungsberatung,Assekuranz,Versicherungsdienst
Eventtechnik,Veranstaltungstechnik,Bühnenbau,Lichttechnik,Tontechnik,Medientechnik
Kurierdienst,Paketdienst,Expressdienst,Botendienst,Lieferdienst,Kurierservice
Fahrradhandel,Fahrradgeschäft,Radladen,Zweiradhandel,Fahrradwerkstatt,Fahrradservice
Autovermietung,Mietwagenverleih,Fahrzeugvermietung,Car Rental,Leihwagen,Autoverleih
Softwareentwicklung,Programmierdienst,Softwarehaus,App-Entwicklung,Softwaredesign,IT-Entwicklung
Personalberatung,Personalvermittlung,Headhunting,Recruiting,Personalservice,Arbeitsvermittlung
Facility Management,Gebäudemanagement,Liegenschaftsverwaltung,Objektbetreuung,Gebäudeverwaltung,Instandhaltungsservice
Umzugsunternehmen,Umzugsservice,Transportservice,Umzugshilfe,Möbelspedition,Umzugsfirma
Veranstaltungslocation,Eventlocation,Tagungszentrum,Kongresszentrum,Veranstaltungshalle,Eventstätte
Anlagenbau,Industrieanlagenbau,Maschinen- und Anlagenbau,Fertigungsanlagen,Produktionsanlagen,Anlagenengineering
Reparaturservice,Wartungsdienst,Instandsetzung,Servicedienstleistung,Reparaturdienst,Instandhaltungsservice
Kunststoffverarbeitung,Kunststofftechnik,Kunststoffherstellung,Kunststoffindustrie,Plastikverarbeitung,Kunststofffertigung
Chemieunternehmen,Chemiebetrieb,Chemische Industrie,Chemikalienherstellung,Chemieproduktion,Chemiewerk
Pharmaunternehmen,Pharmaindustrie,Arzneimittelhersteller,Pharmakonzern,Medikamentenherstellung,Pharmabetrieb
Textilindustrie,Bekleidungsindustrie,Textilherstellung,Bekleidungsherstellung,Textilproduktion,Bekleidungsfertigung
Papierfabrik,Papierherstellung,Papierindustrie,Zellstoffproduktion,Papierproduktion,Papierverarbeitung
Holzverarbeitung,Holzindustrie,Sägewerk,Holzbearbeitung,Holzhandel,Holzfertigung
Metallverarbeitung,Metallindustrie,Stahlbau,Metallbearbeitung,Metallfertigung,Schweißtechnik
Glasherstellung,Glasindustrie,Glasproduktion,Glasfabrik,Glasverarbeitung,Glaswerke
Keramikherstellung,Keramikindustrie,Keramikproduktion,Keramikfabrik,Tonwarenherstellung,Porzellanherstellung
Gummiherstellung,Gummiindustrie,Gummiproduktion,Gummiwarenfabrik,Kautschukverarbeitung,Gummiverarbeitung
Elektronikherstellung,Elektronikindustrie,Elektronikproduktion,Elektrogeräteherstellung,Elektronikfertigung,Elektronikwarenproduktion
Kraftfahrzeugherstellung,Automobilindustrie,Autoproduktion,Fahrzeugbau,Automobilherstellung,Autofabrik
Luft- und Raumfahrt,Luftfahrtindustrie,Raumfahrttechnik,Flugzeugbau,Aerospace,Luftfahrttechnik
Schiffbau,Schiffswerft,Marinetechnik,Schiffsproduktion,Schiffstechnik,Schiffsindustrie
Möbelherstellung,Möbelindustrie,Möbelproduktion,Möbelfabrik,Möbeldesign,Möbelfertigung
Medizintechnik,Medizinische Geräte,Medizinprodukte,Healthcare Technology,Medizinausrüstung,Gesundheitstechnologie
Spielzeugherstellung,Spielwarenproduktion,Spielzeugindustrie,Spieleherstellung,Kinderspielwaren,Spielzeugfabrik
Musikinstrumentenbau,Instrumentenbau,Musikinstrumentenherstellung,Instrumentenfertigung,Musikinstrumentenindustrie,Instrumentenbauer
Schuhherstellung,Schuhindustrie,Schuhproduktion,Schuhfabrik,Schuhfertigung,Schuhmanufaktur
Bekleidungsherstellung,Textilfertigung,Kleidungsproduktion,Kleidungsfabrik,Bekleidungsfabrik,Kleidungsfertigung
Forschung und Entwicklung,Innovation,Research and Development,F&E,Laborforschung,Technologieentwicklung
Umwelttechnik,Umweltschutztechnik,Recyclingtechnik,Abwassertechnik,Erneuerbare Energien,Nachhaltigkeitstechnik
Energieversorgung,Stromversorgung,Gasanbieter,Energieerzeugung,Energieunternehmen,Energiedienstleister
Wasserversorgung,Wasserwirtschaft,Wasseraufbereitung,Wasserwerke,Trinkwasserversorgung,Wasserdienstleister
Abfallwirtschaft,Entsorgung,Recycling,Abfallentsorgung,Müllentsorgung,Wertstoffsammlung
Verkehrsbetrieb,Öffentlicher Nahverkehr,Busunternehmen,Bahngesellschaft,Verkehrsdienstleister,Personenverkehr
Lagerlogistik,Lagerhaltung,Logistikzentrum,Distributionszentrum,Lagerdienstleistung,Logistikdienstleister
Postdienstleister,Briefdienst,Kurierdienst,Postservice,Paketdienst,Postzustellung
Telekommunikationsdienstleister,Telefonanbieter,Internetdienstleister,Netzbetreiber,Kommunikationsanbieter,Telekomunternehmen
Bankwesen,Bank,Bankinstitut,Kreditinstitut,Geldinstitut,Finanzinstitut
Versicherungsgesellschaft,Versicherungsunternehmen,Assekuranz,Versicherungsdienstleister,Versicherungskonzern,Versicherer
Immobiliengesellschaft,Immobilienunternehmen,Bauträger,Immobilienentwicklung,Projektentwicklung,Immobilieninvestment
Rechtsberatung,Anwaltskanzlei,Juristische Beratung,Rechtsdienstleistung,Rechtsanwalt,Anwaltspraxis
Steuerberatungsgesellschaft,Wirtschaftsprüfung,Buchprüfung,Finanzberatung,Steuerkanzlei,Steuerdienstleistung
Unternehmensberatung,Beratungsgesellschaft,Managementberatung,Business Consulting,Consultingfirma,Beratungsunternehmen
Werbedienstleister,Werbeunternehmen,Marketingdienstleister,Marketingunternehmen,Werbeagentur,Kommunikationsagentur
Marktforschung,Meinungsforschung,Marktanalyse,Marketingforschung,Umfrageinstitut,Marktforschungsinstitut
Forschungseinrichtung,Forschungsinstitut,Labor,Laboratorium,Forschungszentrum,Wissenschaftliches Institut
Schulen,Bildungseinrichtung,Grundschule,Gymnasium,Förderschule,Bildungsinstitut
Hochschule,Universität,Fachhochschule,Akademie,Bildungsstätte,Hochschulinstitut
Krankenhaus,Hospital,Klinik,Medizinisches Zentrum,Universitätsklinik,Medizinische Einrichtung
Altenpflegeheim,Pflegeheim,Seniorenresidenz,Seniorenheim,Altenheim,Pflegeeinrichtung
Kindertagesstätte,Kita,Kindergarten,Tagesbetreuung,Kindereinrichtung,Krippe
Theaterbetrieb,Bühnenbetrieb,Bühnenhaus,Opernhaus,Schauspielhaus,Theaterhaus
Filmverleih,Kino,Kinobetrieb,Lichtspielhaus,Filmtheater,Kinoservice
Sportanlage,Sportstätte,Sportzentrum,Trainingszentrum,Sportplatz,Sportarena
Freizeitpark,Vergnügungspark,Erlebnispark,Freizeitzentrum,Freizeiteinrichtung,Freizeitattraktion
Tourismusdienstleister,Reiseveranstalter,Touristikunternehmen,Touristinformation,Touristikdienstleister,Tourismusunternehmen
Reinigungsmittelhersteller,Putzmittelhersteller,Reinigungschemikalienhersteller,Hygieneartikelhersteller,Waschmittelhersteller,Reinigungsproduktehersteller
Spielbank,Casino,Gambling,Spielhalle,Glücksspielbetrieb,Spielkasino
Lotterieunternehmen,Lottogesellschaft,Glücksspielanbieter,Tombola,Lotterieveranstalter,Lottoanbieter
Seefahrt,Schifffahrt,Reederei,Schiffsverkehr,Seetransport,Schiffsunternehmen
Luftfahrtgesellschaft,Airline,Fluggesellschaft,Fluglinie,Luftverkehrsunternehmen,Flugdienst
Bildungszentrum,Weiterbildungsinstitut,Erwachsenenbildung,Bildungseinrichtung,Bildungsakademie,Fortbildungszentrum
Forschungslabor,Laboratorium,Forschungsstätte,Forschungszentrum,Laborinstitut,Wissenschaftslabor
Werkstatt,Kfz-Werkstatt,Reparaturwerkstatt,Servicewerkstatt,Fahrzeugservice,Werkstattbetrieb
Tankstellenbetrieb,Tankstellenservice,Tankstellenunternehmen,Raststätte,Kraftstoffservice,Tankstellenkette
Veranstaltungsdienstleister,Eventdienstleister,Veranstaltungsservice,Eventservice,Eventausstattung,Veranstaltungstechnik
Medienunternehmen,Medienhaus,Rundfunkanstalt,Fernsehsender,Hörfunksender,Medienkonzern
Nachrichtenagentur,Presseagentur,News Agency,Pressedienst,Pressebüro,Nachrichtendienst